 v-sweep         v(vin)          v(vout)        
 2.85000000e-01  2.85000000e-01  1.48620947e+00 
 2.86000000e-01  2.86000000e-01  1.48594891e+00 
 2.87000000e-01  2.87000000e-01  1.48568491e+00 
 2.88000000e-01  2.88000000e-01  1.48541743e+00 
 2.89000000e-01  2.89000000e-01  1.48514646e+00 
 2.90000000e-01  2.90000000e-01  1.48487198e+00 
 2.91000000e-01  2.91000000e-01  1.48459395e+00 
 2.92000000e-01  2.92000000e-01  1.48431235e+00 
 2.93000000e-01  2.93000000e-01  1.48402717e+00 
 2.94000000e-01  2.94000000e-01  1.48373837e+00 
 2.95000000e-01  2.95000000e-01  1.48344593e+00 
 2.96000000e-01  2.96000000e-01  1.48314983e+00 
 2.97000000e-01  2.97000000e-01  1.48285004e+00 
 2.98000000e-01  2.98000000e-01  1.48254653e+00 
 2.99000000e-01  2.99000000e-01  1.48223929e+00 
 3.00000000e-01  3.00000000e-01  1.48192828e+00 
 3.01000000e-01  3.01000000e-01  1.48161348e+00 
 3.02000000e-01  3.02000000e-01  1.48129487e+00 
 3.03000000e-01  3.03000000e-01  1.48097241e+00 
 3.04000000e-01  3.04000000e-01  1.48064608e+00 
 3.05000000e-01  3.05000000e-01  1.48031586e+00 
 3.06000000e-01  3.06000000e-01  1.47998172e+00 
 3.07000000e-01  3.07000000e-01  1.47964363e+00 
 3.08000000e-01  3.08000000e-01  1.47930156e+00 
 3.09000000e-01  3.09000000e-01  1.47895549e+00 
 3.10000000e-01  3.10000000e-01  1.47860539e+00 
 3.11000000e-01  3.11000000e-01  1.47825123e+00 
 3.12000000e-01  3.12000000e-01  1.47789299e+00 
 3.13000000e-01  3.13000000e-01  1.47753063e+00 
 3.14000000e-01  3.14000000e-01  1.47716413e+00 
 3.15000000e-01  3.15000000e-01  1.47679347e+00 
 3.16000000e-01  3.16000000e-01  1.47641860e+00 
 3.17000000e-01  3.17000000e-01  1.47603950e+00 
 3.18000000e-01  3.18000000e-01  1.47565614e+00 
 3.19000000e-01  3.19000000e-01  1.47526850e+00 
 3.20000000e-01  3.20000000e-01  1.47487654e+00 
 3.21000000e-01  3.21000000e-01  1.47448023e+00 
 3.22000000e-01  3.22000000e-01  1.47407954e+00 
 3.23000000e-01  3.23000000e-01  1.47367445e+00 
 3.24000000e-01  3.24000000e-01  1.47326492e+00 
 3.25000000e-01  3.25000000e-01  1.47285092e+00 
 3.26000000e-01  3.26000000e-01  1.47243242e+00 
 3.27000000e-01  3.27000000e-01  1.47200938e+00 
 3.28000000e-01  3.28000000e-01  1.47158178e+00 
 3.29000000e-01  3.29000000e-01  1.47114958e+00 
 3.30000000e-01  3.30000000e-01  1.47071276e+00 
 3.31000000e-01  3.31000000e-01  1.47027127e+00 
 3.32000000e-01  3.32000000e-01  1.46982509e+00 
 3.33000000e-01  3.33000000e-01  1.46937418e+00 
 3.34000000e-01  3.34000000e-01  1.46891851e+00 
 3.35000000e-01  3.35000000e-01  1.46845804e+00 
 3.36000000e-01  3.36000000e-01  1.46799274e+00 
 3.37000000e-01  3.37000000e-01  1.46752258e+00 
 3.38000000e-01  3.38000000e-01  1.46704753e+00 
 3.39000000e-01  3.39000000e-01  1.46656753e+00 
 3.40000000e-01  3.40000000e-01  1.46608257e+00 
 3.41000000e-01  3.41000000e-01  1.46559261e+00 
 3.42000000e-01  3.42000000e-01  1.46509760e+00 
 3.43000000e-01  3.43000000e-01  1.46459751e+00 
 3.44000000e-01  3.44000000e-01  1.46409231e+00 
 3.45000000e-01  3.45000000e-01  1.46358196e+00 
 3.46000000e-01  3.46000000e-01  1.46306642e+00 
 3.47000000e-01  3.47000000e-01  1.46254566e+00 
 3.48000000e-01  3.48000000e-01  1.46201963e+00 
 3.49000000e-01  3.49000000e-01  1.46148829e+00 
 3.50000000e-01  3.50000000e-01  1.46095162e+00 
 3.51000000e-01  3.51000000e-01  1.46040956e+00 
 3.52000000e-01  3.52000000e-01  1.45986208e+00 
 3.53000000e-01  3.53000000e-01  1.45930914e+00 
 3.54000000e-01  3.54000000e-01  1.45875069e+00 
 3.55000000e-01  3.55000000e-01  1.45818671e+00 
 3.56000000e-01  3.56000000e-01  1.45761713e+00 
 3.57000000e-01  3.57000000e-01  1.45704193e+00 
 3.58000000e-01  3.58000000e-01  1.45646107e+00 
 3.59000000e-01  3.59000000e-01  1.45587449e+00 
 3.60000000e-01  3.60000000e-01  1.45528215e+00 
 3.61000000e-01  3.61000000e-01  1.45468402e+00 
 3.62000000e-01  3.62000000e-01  1.45408004e+00 
 3.63000000e-01  3.63000000e-01  1.45347018e+00 
 3.64000000e-01  3.64000000e-01  1.45285439e+00 
 3.65000000e-01  3.65000000e-01  1.45223261e+00 
 3.66000000e-01  3.66000000e-01  1.45160481e+00 
 3.67000000e-01  3.67000000e-01  1.45097094e+00 
 3.68000000e-01  3.68000000e-01  1.45033095e+00 
 3.69000000e-01  3.69000000e-01  1.44968480e+00 
 3.70000000e-01  3.70000000e-01  1.44903243e+00 
 3.71000000e-01  3.71000000e-01  1.44837379e+00 
 3.72000000e-01  3.72000000e-01  1.44770885e+00 
 3.73000000e-01  3.73000000e-01  1.44703754e+00 
 3.74000000e-01  3.74000000e-01  1.44635981e+00 
 3.75000000e-01  3.75000000e-01  1.44567562e+00 
 3.76000000e-01  3.76000000e-01  1.44498491e+00 
 3.77000000e-01  3.77000000e-01  1.44428763e+00 
 3.78000000e-01  3.78000000e-01  1.44358373e+00 
 3.79000000e-01  3.79000000e-01  1.44287315e+00 
 3.80000000e-01  3.80000000e-01  1.44215583e+00 
 3.81000000e-01  3.81000000e-01  1.44143173e+00 
 3.82000000e-01  3.82000000e-01  1.44070078e+00 
 3.83000000e-01  3.83000000e-01  1.43996294e+00 
 3.84000000e-01  3.84000000e-01  1.43921813e+00 
 3.85000000e-01  3.85000000e-01  1.43846631e+00 
 3.86000000e-01  3.86000000e-01  1.43770741e+00 
 3.87000000e-01  3.87000000e-01  1.43694137e+00 
 3.88000000e-01  3.88000000e-01  1.43616813e+00 
 3.89000000e-01  3.89000000e-01  1.43538764e+00 
 3.90000000e-01  3.90000000e-01  1.43459982e+00 
 3.91000000e-01  3.91000000e-01  1.43380461e+00 
 3.92000000e-01  3.92000000e-01  1.43300196e+00 
 3.93000000e-01  3.93000000e-01  1.43219179e+00 
 3.94000000e-01  3.94000000e-01  1.43137403e+00 
 3.95000000e-01  3.95000000e-01  1.43054863e+00 
 3.96000000e-01  3.96000000e-01  1.42971551e+00 
 3.97000000e-01  3.97000000e-01  1.42887460e+00 
 3.98000000e-01  3.98000000e-01  1.42802584e+00 
 3.99000000e-01  3.99000000e-01  1.42716914e+00 
 4.00000000e-01  4.00000000e-01  1.42630444e+00 
 4.01000000e-01  4.01000000e-01  1.42543166e+00 
 4.02000000e-01  4.02000000e-01  1.42455074e+00 
 4.03000000e-01  4.03000000e-01  1.42366158e+00 
 4.04000000e-01  4.04000000e-01  1.42276413e+00 
 4.05000000e-01  4.05000000e-01  1.42185828e+00 
 4.06000000e-01  4.06000000e-01  1.42094398e+00 
 4.07000000e-01  4.07000000e-01  1.42002113e+00 
 4.08000000e-01  4.08000000e-01  1.41908965e+00 
 4.09000000e-01  4.09000000e-01  1.41814946e+00 
 4.10000000e-01  4.10000000e-01  1.41720047e+00 
 4.11000000e-01  4.11000000e-01  1.41624259e+00 
 4.12000000e-01  4.12000000e-01  1.41527575e+00 
 4.13000000e-01  4.13000000e-01  1.41429984e+00 
 4.14000000e-01  4.14000000e-01  1.41331478e+00 
 4.15000000e-01  4.15000000e-01  1.41232047e+00 
 4.16000000e-01  4.16000000e-01  1.41131681e+00 
 4.17000000e-01  4.17000000e-01  1.41030372e+00 
 4.18000000e-01  4.18000000e-01  1.40928109e+00 
 4.19000000e-01  4.19000000e-01  1.40824882e+00 
 4.20000000e-01  4.20000000e-01  1.40720680e+00 
 4.21000000e-01  4.21000000e-01  1.40615495e+00 
 4.22000000e-01  4.22000000e-01  1.40509314e+00 
 4.23000000e-01  4.23000000e-01  1.40402127e+00 
 4.24000000e-01  4.24000000e-01  1.40293923e+00 
 4.25000000e-01  4.25000000e-01  1.40184691e+00 
 4.26000000e-01  4.26000000e-01  1.40074419e+00 
 4.27000000e-01  4.27000000e-01  1.39963096e+00 
 4.28000000e-01  4.28000000e-01  1.39850710e+00 
 4.29000000e-01  4.29000000e-01  1.39737247e+00 
 4.30000000e-01  4.30000000e-01  1.39622697e+00 
 4.31000000e-01  4.31000000e-01  1.39507046e+00 
 4.32000000e-01  4.32000000e-01  1.39390281e+00 
 4.33000000e-01  4.33000000e-01  1.39272389e+00 
 4.34000000e-01  4.34000000e-01  1.39153357e+00 
 4.35000000e-01  4.35000000e-01  1.39033170e+00 
 4.36000000e-01  4.36000000e-01  1.38911815e+00 
 4.37000000e-01  4.37000000e-01  1.38789277e+00 
 4.38000000e-01  4.38000000e-01  1.38665540e+00 
 4.39000000e-01  4.39000000e-01  1.38540591e+00 
 4.40000000e-01  4.40000000e-01  1.38414414e+00 
 4.41000000e-01  4.41000000e-01  1.38286992e+00 
 4.42000000e-01  4.42000000e-01  1.38158309e+00 
 4.43000000e-01  4.43000000e-01  1.38028350e+00 
 4.44000000e-01  4.44000000e-01  1.37897096e+00 
 4.45000000e-01  4.45000000e-01  1.37764531e+00 
 4.46000000e-01  4.46000000e-01  1.37630637e+00 
 4.47000000e-01  4.47000000e-01  1.37495395e+00 
 4.48000000e-01  4.48000000e-01  1.37358786e+00 
 4.49000000e-01  4.49000000e-01  1.37220791e+00 
 4.50000000e-01  4.50000000e-01  1.37081392e+00 
 4.51000000e-01  4.51000000e-01  1.36940566e+00 
 4.52000000e-01  4.52000000e-01  1.36798294e+00 
 4.53000000e-01  4.53000000e-01  1.36654554e+00 
 4.54000000e-01  4.54000000e-01  1.36509324e+00 
 4.55000000e-01  4.55000000e-01  1.36362582e+00 
 4.56000000e-01  4.56000000e-01  1.36214304e+00 
 4.57000000e-01  4.57000000e-01  1.36064467e+00 
 4.58000000e-01  4.58000000e-01  1.35913046e+00 
 4.59000000e-01  4.59000000e-01  1.35760016e+00 
